"PTM","Allele","n","Mean_EL","Pct_Strong","Bg_EL","Bg_Strong","Log2_EL_Ratio"
"S phosphorylation","A0201",166,2.5613025471451,64.4578313253012,9.71300663539732,59.5674466808487,-1.92304026962613
"S phosphorylation","B0702",315,1.4772465320911,92.3809523809524,7.1839726969324,62.6364956132046,-2.28187125493229
"S phosphorylation","C0702",50,7.0228331521739,62,29.5001226820789,21.2048468221308,-2.07059588894447
"T phosphorylation","A0201",45,3.79368550724638,66.6666666666667,9.71300663539732,59.5674466808487,-1.35631786147166
"T phosphorylation","B0702",88,1.84530681818182,90.9090909090909,7.1839726969324,62.6364956132046,-1.96092115468483
"T phosphorylation","C0702",11,10.0275834980237,36.3636363636364,29.5001226820789,21.2048468221308,-1.55674697493422
"Y phosphorylation","B0702",16,0.151625,87.5,7.1839726969324,62.6364956132046,-5.56620231659237
"acetylation","A0201",100,50.55463,2,9.71300663539732,59.5674466808487,2.37985337379035
"acetylation","B0702",109,54.2247247706422,5.5045871559633,7.1839726969324,62.6364956132046,2.91609705304095
"acetylation","C0702",99,53.6019555335968,2.02020202020202,29.5001226820789,21.2048468221308,0.861564680552989
"citrullination","A0201",24,10.0798686594203,41.6666666666667,9.71300663539732,59.5674466808487,0.0534869883521488
"citrullination","B0702",91,9.34940659340659,75.8241758241758,7.1839726969324,62.6364956132046,0.380092933038527
"citrullination","C0702",23,47.2130888468809,17.3913043478261,29.5001226820789,21.2048468221308,0.678465918011385
"cysteinylation","A0201",1450,6.87174453523238,52.551724137931,9.71300663539732,59.5674466808487,-0.4992415435187
"cysteinylation","B0702",740,8.43723116186839,61.6216216216216,7.1839726969324,62.6364956132046,0.231987761689719
"cysteinylation","C0702",165,39.8285556982872,10.9090909090909,29.5001226820789,21.2048468221308,0.433082210025096
"deamidation","A0201",488,9.2010069159836,61.4754098360656,9.71300663539732,59.5674466808487,-0.0781261954591645
"deamidation","B0702",354,7.50679581183984,74.0112994350282,7.1839726969324,62.6364956132046,0.0634153745377589
"deamidation","C0702",116,37.9460781952774,20.6896551724138,29.5001226820789,21.2048468221308,0.363229833645984
"dimethylation","A0201",27,32.3344577294686,40.7407407407407,9.71300663539732,59.5674466808487,1.73508256331837
"dimethylation","B0702",93,4.91937885694249,77.4193548387097,7.1839726969324,62.6364956132046,-0.54630570119775
"dimethylation","C0702",17,16.3055984654731,17.6470588235294,29.5001226820789,21.2048468221308,-0.855353560827944
"methylation","A0201",55,16.1085067193676,43.6363636363636,9.71300663539732,59.5674466808487,0.729832908129709
"methylation","B0702",62,12.8710772265077,46.7741935483871,7.1839726969324,62.6364956132046,0.841279030758379
"methylation","C0702",23,21.2214260396975,21.7391304347826,29.5001226820789,21.2048468221308,-0.47519934833028
"oxidation","A0201",581,11.6424325001871,56.6265060240964,9.71300663539732,59.5674466808487,0.261402665502363
"oxidation","B0702",302,11.4697426576447,59.6026490066225,7.1839726969324,62.6364956132046,0.674979250340721
"oxidation","C0702",72,35.7653222373188,15.2777777777778,29.5001226820789,21.2048468221308,0.277840485715396
"ubiquitination","A0201",104,44.8278790238294,5.76923076923077,9.71300663539732,59.5674466808487,2.2064063893478
"ubiquitination","B0702",66,48.8101417160738,6.06060606060606,7.1839726969324,62.6364956132046,2.76432716831597
"ubiquitination","C0702",65,54.2535752508361,4.61538461538461,29.5001226820789,21.2048468221308,0.878997258484712
